# Bloco | Indice | Chave Primaria | Status | Registro (string)
9 | 10 | 937 | 1 | [TESTE] [937] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 11 | 960 | 1 | [TESTE] [960] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 12 | 990 | 1 | [TESTE] [990] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 13 | 992 | 1 | [TESTE] [992] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 14 | 954 | 1 | [TESTE] [954] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 15 | 950 | 1 | [TESTE] [950] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 16 | 958 | 1 | [TESTE] [958] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 17 | 951 | 1 | [TESTE] [951] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 18 | 974 | 1 | [TESTE] [974] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 19 | 981 | 1 | [TESTE] [981] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 20 | 903 | 1 | [TESTE] [903] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 21 | 930 | 1 | [TESTE] [930] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 22 | 932 | 1 | [TESTE] [932] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 23 | 962 | 1 | [TESTE] [962] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

9 | 24 | 980 | 1 | [TESTE] [980] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

# CABECALHO BLOCO 9: id=9, qtd_registros_validos=25, chave_min_no_bloco=-1111.11, chave_max_no_bloco=992
# Bloco 9: 25 registros, min=902, max=992
10 | 0 | 1005 | 1 | [TESTE] [1005] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 1 | 1049 | 1 | [TESTE] [1049] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 2 | 1017 | 1 | [TESTE] [1017] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 3 | 1045 | 1 | [TESTE] [1045] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 4 | 1037 | 1 | [TESTE] [1037] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 5 | 1083 | 1 | [TESTE] [1083] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 6 | 1025 | 1 | [TESTE] [1025] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 7 | 1049 | 1 | [TESTE] [1049] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 8 | 1077 | 1 | [TESTE] [1077] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 9 | 1079 | 1 | [TESTE] [1079] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 10 | 1057 | 1 | [TESTE] [1057] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 11 | 1064 | 1 | [TESTE] [1064] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 12 | 1089 | 1 | [TESTE] [1089] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 13 | 1085 | 1 | [TESTE] [1085] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 14 | 1098 | 1 | [TESTE] [1098] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 15 | 1019 | 1 | [TESTE] [1019] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 16 | 1074 | 1 | [TESTE] [1074] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 17 | 1010 | 1 | [TESTE] [1010] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 18 | 1010 | 1 | [TESTE] [1010] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 19 | 1066 | 1 | [TESTE] [1066] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 20 | 1064 | 1 | [TESTE] [1064] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 21 | 1060 | 1 | [TESTE] [1060] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 22 | 1024 | 1 | [TESTE] [1024] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 23 | 1067 | 1 | [TESTE] [1067] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

10 | 24 | 1034 | 1 | [TESTE] [1034] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

# CABECALHO BLOCO 10: id=10, qtd_registros_validos=25, chave_min_no_bloco=-1111.11, chave_max_no_bloco=1098
# Bloco 10: 25 registros, min=1005, max=1098
11 | 0 | 1106 | 1 | [TESTE] [1106] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 1 | 1122 | 1 | [TESTE] [1122] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 2 | 1116 | 1 | [TESTE] [1116] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 3 | 1190 | 1 | [TESTE] [1190] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 4 | 1184 | 1 | [TESTE] [1184] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 5 | 1148 | 1 | [TESTE] [1148] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 6 | 1195 | 1 | [TESTE] [1195] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 7 | 1133 | 1 | [TESTE] [1133] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 8 | 1118 | 1 | [TESTE] [1118] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 9 | 1192 | 1 | [TESTE] [1192] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 10 | 1122 | 1 | [TESTE] [1122] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 11 | 1101 | 1 | [TESTE] [1101] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 12 | 1118 | 1 | [TESTE] [1118] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 13 | 1171 | 1 | [TESTE] [1171] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 14 | 1130 | 1 | [TESTE] [1130] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 15 | 1197 | 1 | [TESTE] [1197] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 16 | 1181 | 1 | [TESTE] [1181] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 17 | 1194 | 1 | [TESTE] [1194] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 18 | 1186 | 1 | [TESTE] [1186] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 19 | 1166 | 1 | [TESTE] [1166] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 20 | 1192 | 1 | [TESTE] [1192] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 21 | 1106 | 1 | [TESTE] [1106] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 22 | 1140 | 1 | [TESTE] [1140] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 23 | 1102 | 1 | [TESTE] [1102] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

11 | 24 | 1168 | 1 | [TESTE] [1168] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

# CABECALHO BLOCO 11: id=11, qtd_registros_validos=25, chave_min_no_bloco=-1111.11, chave_max_no_bloco=1197
# Bloco 11: 25 registros, min=1101, max=1197
